iso3,country,year,voice_accountability,political_stability,government_effectiveness,regulatory_quality,rule_of_law,control_of_corruption
AFG,Afghanistan,2024,19.2473331,28.2258568,13.7358099,30.5994864,23.6535886,21.3643608
AFG,Afghanistan,2023,21.1952411,25.0303745,10.6546599,32.3008157,24.3193623,23.5902009
AFG,Afghanistan,2022,24.6158803,24.0573058,13.1405332,32.4204451,24.9753672,24.1318765
AFG,Afghanistan,2021,31.8561734,24.0335589,18.1708567,32.6259609,27.3576848,23.1191682
AFG,Afghanistan,2020,37.9205776,21.6583487,17.960381,34.3181413,28.4695599,19.4986641
ALB,Albania,2024,56.6319145,66.243999,57.4136957,57.0035209,54.925199,39.3379974
ALB,Albania,2023,56.2122608,66.3155692,57.0459179,55.8603547,54.3312817,38.4618567
ALB,Albania,2022,57.2723796,66.0915577,55.0925288,55.1084617,54.7107003,37.7248301
ALB,Albania,2021,56.8421631,66.3035591,53.5111467,54.7847817,53.4957451,35.6688164
ALB,Albania,2020,57.8200814,65.8092347,51.704282,54.5543139,52.5460654,34.5069402
DZA,Algeria,2024,38.4995232,54.0467968,46.4563079,42.9924826,44.9726847,35.843598
DZA,Algeria,2023,38.4825878,53.3951013,44.4269433,42.4720793,44.3500497,34.9054029
DZA,Algeria,2022,38.0535965,52.1017611,46.1462983,41.0115322,43.223943,34.8379642
DZA,Algeria,2021,38.5948417,50.5039858,42.3162152,39.5329048,43.9649172,34.6776856
DZA,Algeria,2020,38.1726659,50.7988142,46.1037431,37.8133673,43.6316749,34.9886078
ASM,American Samoa,2024,73.1366618,87.2981254,66.2614695,61.0412254,75.6655388,71.6636167
ASM,American Samoa,2023,73.1782005,87.2261384,66.2931807,61.0200207,77.451965,71.604473
ASM,American Samoa,2022,73.2541648,87.2152796,66.2632058,61.0106572,77.4707384,71.6658595
ASM,American Samoa,2021,73.3309307,87.148494,66.2717223,61.0985387,77.5397482,71.6837307
ASM,American Samoa,2020,73.5646624,87.1872948,66.2151577,61.1315136,77.6519861,71.7357717
AND,Andorra,2024,70.6628443,92.2648945,73.8768133,72.2449856,81.2301636,71.6636167
AND,Andorra,2023,70.3202086,92.3747104,73.9008966,72.2237825,81.2323803,71.604473
AND,Andorra,2022,73.4581633,92.3660278,73.8781316,72.2144174,81.2461127,71.6658595
AND,Andorra,2021,72.0679266,92.3126307,86.3499091,72.3022989,84.7310822,71.6837307
AND,Andorra,2020,73.9772119,92.3436526,86.2933425,72.3352738,84.8342983,71.7357717
AGO,Angola,2024,38.3159728,56.0964488,36.0732109,42.6711683,36.8326485,35.2528671
AGO,Angola,2023,38.9803183,60.5450271,35.2271686,40.6000338,36.4075028,35.2190131
AGO,Angola,2022,38.5050347,56.6462987,35.1519358,41.2696867,36.9565122,35.646071
AGO,Angola,2021,39.3728554,52.3383191,33.1661374,41.4788741,38.0671258,34.8668347
AGO,Angola,2020,40.437334,54.9149657,31.5783465,38.47815,40.6575036,29.8027732
ATG,Antigua and Barbuda,2024,65.8065494,84.2254939,59.7008199,64.8713859,67.3216504,53.6112689
ATG,Antigua and Barbuda,2023,65.9228167,84.3288462,59.7249052,64.6708822,67.6096233,53.2927704
ATG,Antigua and Barbuda,2022,65.7457825,84.320676,49.5362212,62.1881673,67.6358473,52.6506623
ATG,Antigua and Barbuda,2021,66.133825,81.5200195,39.5008106,63.7642889,66.717966,51.5284433
ATG,Antigua and Barbuda,2020,65.7522462,81.5492154,39.444246,63.9489596,67.1187809,52.3062547
ARG,Argentina,2024,63.597359,62.9948599,54.9132764,51.156098,52.6382821,41.2619998
ARG,Argentina,2023,65.5332743,65.539658,52.5357627,46.8743591,52.8724561,40.6877373
ARG,Argentina,2022,65.5463784,66.8790416,53.451823,45.7273179,51.9503978,40.9679996
ARG,Argentina,2021,66.012587,67.4693134,53.5291966,45.651899,51.7343949,41.22917
ARG,Argentina,2020,67.1810707,66.8381534,54.2362181,46.2329181,51.9641457,45.1329544
ARM,Armenia,2024,58.9527725,53.5393178,44.2622836,57.0391218,54.5140043,50.7833909
ARM,Armenia,2023,57.9245941,57.3152603,48.1625284,56.383805,53.3368421,49.9723308
ARM,Armenia,2022,57.8428417,59.8197748,44.9105336,56.0981042,52.8574311,49.0185983
ARM,Armenia,2021,58.681932,57.3211381,44.4308943,57.9730706,55.194753,48.9851107
ARM,Armenia,2020,60.5400487,60.8795173,44.7767568,58.1448229,55.6708338,49.9924934
ABW,Aruba,2024,73.6108253,88.6165004,64.1110309,70.3329342,77.9628011,65.4406362
ABW,Aruba,2023,73.6306066,88.7188328,64.1272277,70.3232253,77.9639129,65.4155873
ABW,Aruba,2022,73.666779,88.710743,70.9492691,70.3189387,77.9707954,65.4415876
ABW,Aruba,2021,73.7033364,88.6609843,68.9663738,70.3591763,77.9330971,65.4491579
ABW,Aruba,2020,81.6387076,88.6898932,68.9319034,70.3742727,79.2321662,71.4508296
AUS,Australia,2024,83.3187821,79.4447025,86.5155896,82.026233,82.2713526,85.3425462
AUS,Australia,2023,83.3531587,81.7023297,85.9860939,83.4581518,82.8355625,84.4063894
AUS,Australia,2022,82.7671019,81.294059,85.7080678,83.2556593,82.2979363,82.8487082
AUS,Australia,2021,81.9711062,80.4761134,84.4436776,83.0307116,83.9886779,81.8010164
AUS,Australia,2020,82.5881704,81.0276612,82.5570088,82.7534122,83.678109,80.3186803
AUT,Austria,2024,81.4482368,74.2916722,80.788653,76.1709511,85.839794,74.0564191
AUT,Austria,2023,81.9278715,77.8795359,82.0436925,77.1335739,85.4952977,74.5754384
AUT,Austria,2022,82.6729525,76.1521762,85.1211403,76.9614999,85.2240691,75.5418927
AUT,Austria,2021,82.9455152,78.7803204,86.6567707,77.7026825,86.5103437,75.3856847
AUT,Austria,2020,83.6285166,79.8779243,88.4396396,78.1052433,87.0508768,80.3611551
AZE,Azerbaijan,2024,30.5213111,63.4960375,54.5704861,56.9902493,48.6111324,32.1660634
AZE,Azerbaijan,2023,30.2893156,59.0546762,52.6166207,55.5445036,48.0829806,30.0026199
AZE,Azerbaijan,2022,31.8131103,56.6353442,50.2836338,53.9065375,47.5250716,31.0498764
AZE,Azerbaijan,2021,31.7621868,57.5444168,50.2323191,53.9246857,46.4905311,32.1511758
AZE,Azerbaijan,2020,31.4053513,57.2037516,50.2315219,53.1975112,46.3248918,32.4751638
BHS,"Bahamas, The",2024,66.5292727,83.8182788,65.1320947,53.1711824,61.2845195,72.7942056
BHS,"Bahamas, The",2023,66.8296819,83.8979013,65.1448344,53.3768433,61.7223546,72.5488762
BHS,"Bahamas, The",2022,67.503302,80.5722982,65.1327908,53.8042378,61.647106,72.8143702
BHS,"Bahamas, The",2021,68.6007815,78.5934221,62.7867628,54.5414492,62.9625131,72.7166886
BHS,"Bahamas, The",2020,67.7690195,78.0795854,62.7607215,54.6825419,62.372248,72.4048394
BHR,Bahrain,2024,33.7202025,61.18214,63.0118001,69.8494802,59.8550294,52.9975172
BHR,Bahrain,2023,33.4484309,57.3408912,65.5836257,69.2086259,59.1319114,52.6731466
BHR,Bahrain,2022,33.7976055,57.6516738,65.5298844,68.5806994,57.5304021,50.7864899
BHR,Bahrain,2021,33.809446,57.2832784,65.3073437,67.424547,57.2928772,52.1075132
BHR,Bahrain,2020,34.6227009,55.7056542,59.5184622,63.6219613,55.0650515,45.9821495
BGD,Bangladesh,2024,36.5322872,40.9048506,39.305124,39.8788257,40.4414129,25.5454805
BGD,Bangladesh,2023,36.9763918,48.1988033,40.5013434,40.654144,41.4402154,23.5908891
BGD,Bangladesh,2022,38.0824371,47.1824874,39.2181042,40.2892485,40.2076588,24.0032436
BGD,Bangladesh,2021,38.3529521,47.8980425,40.3760073,41.1231008,40.1857393,25.7330264
BGD,Bangladesh,2020,39.2620856,48.5534122,37.3141497,40.7595081,41.5281449,26.0737663
BRB,Barbados,2024,74.2460133,87.6259794,63.0957497,61.8101531,69.4902317,72.6663418
BRB,Barbados,2023,74.0834047,87.7036101,63.1085653,61.632753,69.6027794,72.3259177
BRB,Barbados,2022,74.1640299,86.5061199,65.0933078,61.2337061,69.3037055,71.9965839
BRB,Barbados,2021,73.8506601,84.4205316,64.223219,62.371663,69.0305476,72.0370427
BRB,Barbados,2020,73.309877,84.1385913,63.2123108,61.1944022,69.0957538,71.5279357
BLR,Belarus,2024,27.2627222,59.4495003,37.6995982,35.4281591,35.7852241,36.1526013
BLR,Belarus,2023,26.6423377,59.1880459,39.7439464,36.3281553,36.0445721,37.0386886
BLR,Belarus,2022,28.0987986,55.357111,39.7338355,37.8914926,37.0150252,39.4543234
BLR,Belarus,2021,29.6243646,55.3657663,38.0691396,42.336188,38.5964857,43.6795333
BLR,Belarus,2020,32.7706505,51.9165453,39.3477492,44.0894827,42.1598706,45.8019695
BEL,Belgium,2024,83.0542039,67.9689981,74.5710173,74.4753152,79.0425834,77.5852129
BEL,Belgium,2023,83.3700031,69.3006796,73.9850756,75.2301559,78.8566854,77.5494825
BEL,Belgium,2022,83.8191327,70.1054587,76.8196093,77.0684112,80.0237604,79.7844434
BEL,Belgium,2021,83.8366072,73.7846749,75.2230161,76.8702874,81.1494075,79.23356
BEL,Belgium,2020,83.4546836,72.1913766,74.0821421,75.7413392,81.977454,79.5583496
BLZ,Belize,2024,58.6688121,79.2986992,48.8303528,47.7644224,50.1294796,44.6078242
BLZ,Belize,2023,58.968586,79.3832206,50.0916047,47.0872812,50.0681492,45.5070827
BLZ,Belize,2022,58.7706224,78.4554045,48.5929432,45.124318100000004,49.4412769,46.9254536
BLZ,Belize,2021,58.2083584,71.9904014,43.9854124,45.2938499,47.883395,46.034901
BLZ,Belize,2020,58.3155472,76.1889426,43.9561997,45.7744666,48.0015344,46.3301035
BEN,Benin,2024,50.1899746,59.0103392,47.7351469,50.4899699,49.8656515,42.9823784
BEN,Benin,2023,50.9478499,60.6055079,47.1334148,51.1412381,50.236747,45.7341806
BEN,Benin,2022,49.1893276,58.4245958,47.1616961,50.352593,48.902081,45.6118468
BEN,Benin,2021,51.0453213,58.8795864,47.4149409,48.8810138,50.3349168,44.5298255
BEN,Benin,2020,55.6685337,61.0570087,47.6695739,47.9807811,50.1930266,47.1409996
BMU,Bermuda,2024,,82.483526,80.0326675,64.7758095,70.7350905,71.6636167
BMU,Bermuda,2023,,82.6148254,80.0567528,64.7546064,70.7380077,71.604473
BMU,Bermuda,2022,,82.6044449,74.9510215,68.4798333,70.7560652,71.6658595
BMU,Bermuda,2021,,82.5406007,79.6571821,68.5677148,67.9791492,71.6837307
BMU,Bermuda,2020,,82.5776934,79.6006175,68.6006897,68.1268531,71.7357717
BTN,Bhutan,2024,63.8688856,89.0248497,62.6342595,53.4229511,70.5657526,77.655202
BTN,Bhutan,2023,62.2472923,88.6516184,61.7489169,53.139843,69.3564374,75.3103134
BTN,Bhutan,2022,61.5055438,88.4837541,61.7391132,53.138064,68.7331053,75.3237234
BTN,Bhutan,2021,62.8405059,81.9371556,62.936546,54.1509693,68.6385205,74.5710095
BTN,Bhutan,2020,62.7502211,84.9479261,60.7464143,54.3747784,68.1003555,75.0214788
BOL,Bolivia,2024,49.1522731,56.5672297,39.4715143,35.0786424,35.1463232,27.6622228
BOL,Bolivia,2023,49.3318119,60.9437372,43.3803612,36.5763233,36.2633408,28.511009
BOL,Bolivia,2022,49.9229462,62.9801202,42.9101056,36.925143,36.6979317,27.9688233
BOL,Bolivia,2021,51.1834719,61.0096773,42.0373238,37.2460993,37.8575493,28.647605
BOL,Bolivia,2020,50.2105243,59.3078973,42.1659752,38.2868348,36.2750114,31.5692114
